0101||0|Live horses, asses, mules and hinnies:|||||
0102.39.00|24|5|Male|No. Kg||||
0102.39.00|28|5|Female|No. Kg||||
||4|Weighing 90 kg or more but less than 200 kg each:|||||
0102.39.00|34|5|Male|No. Kg||||
0102.39.00|38|5|Female|No. Kg||||
||4|Weighing 200 kg or more but less than 320 kg each:|||||
0102.39.00|54|5|Male|No. Kg||||
0102.39.00|58|5|Female|No. Kg||||
||4|Weighing 320 kg or more each:|||||
0102.39.00|61|5|For immediate slaughter|No. Kg||||
||5|For breeding:|||||
0102.39.00|72|6|Male|No. Kg||||
0102.39.00|74|6|Female|No. Kg||||
||5|Other:|||||
0102.39.00|82|6|Male|No. Kg||||
0102.39.00|84|6|Female|No. Kg||||
0102.90.00|00|1|Other||1¢/kg|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.5¢/kg(AU)|5.5¢/kg|
0103||0|Live swine:|||||
0103.10.00|00|1|Purebred breeding animals|No.|Free||Free|
||1|Other:|||||
0103.91.00||2|Weighing less than 50 kg each||Free||4.4¢/kg|
0103.91.00|10|3|Weighing less than 7 kg each|No. Kg||||
0103.91.00|20|3|Weighing 7 kg or more but less than 23 kg each|No. Kg||||
0103.91.00|30|3|Weighing 23 kg or more but less than 50 kg each|No. Kg||||
0103.92.00||2|Weighing 50 kg or more each||Free||4.4¢/kg|
0103.92.00|10|3|Imported for immediate slaughter|No. Kg||||
0103.92.00|20|3|Breeding animals other than purebred breeding animals|No. Kg||||
0103.92.00|91|3|Other|No. Kg||||
0104||0|Live sheep and goats:|||||
0104.10.00|00|1|Sheep|No. Kg|Free||$3/head|
0104.20.00|00|1|Goats|No.|68¢/head|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|$3/head|
0105||0|Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas:|||||
||1|Weighing not more than 185 g:|||||
0105.11.00||2|Chickens||0.9¢ each|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|4¢ each|
||3|Breeding stock, whether or not purebred:|||||
0105.11.00|10|4|Layer-type (egg-type)|No.||||
0105.11.00|20|4|Broiler-type (meat-type)|No.||||
0105.11.00|40|3|Other|No.||||
0105.12.00|00|2|Turkeys|No.|0.9¢ each|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|4¢ each|
0105.13.00|00|2|Ducks|No.|0.9¢ each|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|4¢ each|
0105.14.00|00|2|Geese|No.|0.9¢ each|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|4¢ each|
0105.15.00|00|2|Guinea fowls|No.|0.9¢ each|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|4¢ each|
||1|Other:|||||
0105.94.00|00|2|Chickens|No. Kg|2¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|17.6¢/kg|
0105.99.00|00|2|Other|No. Kg|2¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|17.6¢/kg|
0106||0|Other live animals:|||||
||1|Mammals:|||||
0106.11.00|00|2|Primates|No.|Free||15%|
0106.12.01|00|2|Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)|No.|Free||15%|
0106.13.00|00|2|Camels and other camelids (Camelidae)|No.|Free||15%|
0106.14.00|00|2|Rabbits and hares|No.|Free||15%|
0106.19||2|Other:|||||
0106.19.30|00|3|Foxes|No.|4.8%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15%|
0106.19.91||3|Other||Free||15%|
0106.19.91|20|4|Dogs|No.||||
0106.19.91|95|4|Other|No.||||
0106.20.00|00|1|Reptiles (including snakes and turtles)|No.|Free||15%|
||1|Birds:|||||
0106.31.00|00|2|Birds of prey|No.|1.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0106.32.00|00|2|Psittaciformes (including parrots, parakeets, macaws and cockatoos)|No.|1.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0106.33.00|00|2|Ostriches; emus (Dromaius novaehollandiae)|No.|1.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0106.39.01|00|2|Other|No.|1.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
||1|Insects:|||||
0106.41.00|00|2|Bees|X.|Free||15%|
0106.49.00||2|Other||Free||15%|
0106.49.00|10|3|Leaf cutter bee larvae|No.||||
0106.49.00|90|3|Other|No.||||
0106.90.01||1|Other||Free||15%|
0106.90.01|10|2|Worms|X||||
0106.90.01|20|2|Bait (other than worms)|X||||
0106.90.01|80|2|Other|X||||
0201||0|Meat of bovine animals, fresh or chilled:|||||
0201.10||1|Carcasses and half-carcasses:|||||
0201.10.05||2|Described in general note 15 of the tariff schedule and entered pursuant to its provisions||4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|13.2¢/kg|
0201.10.05|10|3|Veal|kg||||
0201.10.05|90|3|Other|kg||||
0201.10.10||2|Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions||4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.6¢/kg (KR)|13.2¢/kg|
0201.10.10|10|3|Veal|kg||||
0201.10.10|90|3|Other|kg||||
0201.10.50||2|Other||26.4%|Free (CA,JO,MX) 12.3% (P) 17.6% (PE) 22.8% (KR) See 9910.02.05 9910.02.10 (SG) See 9911.02.05 9911.02.10 (CL) See 9912.02.05 9912.02.10 (MA) See 9913.02.05 9913.02.30 (AU) See 9914.02.05 9914.02.10 (BH) See 9915.02.05 9915.02.10 (P+) See 9914.02.05 9916.02.10 (OM) See 9918.02.01 9918.02.03 (CO) See 9919.02.01 9919.02.02 (PA)|31.1%|<desc> See subheadings 9904.02.01-9904.02.37.
0201.10.50|10|3|Veal|kg||||
0201.10.50|90|3|Other|kg||||
0201.20||1|Other cuts with bone in:|||||
||2|Described in general note 15 of the tariff schedule and entered pursuant to its provisions:|||||
||3|Processed:|||||
0201.20.02|00|4|High-quality beef cuts|kg|4%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0201.20.04|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0201.20.06|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|13.2¢/kg|
||2|Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:|||||
||3|Processed:|||||
0201.20.10|00|4|High-quality beef cuts|kg|4%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.4% (KR)|20%|
0201.20.30|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0201.20.50|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.6¢/kg (KR)|13.2¢/kg|
0201.20.80||2|Other||26.4%|Free (CA,JO,MX) 12.3% (P) 17.6% (PE) 22.8% (KR) See 9910.02.05 9910.02.10 (SG) See 9911.02.05 9911.02.10 (CL) See 9912.02.05 9912.02.10 (MA) See 9913.02.05 9913.02.30 (AU) See 9914.02.05 9914.02.10 (BH) See 9915.02.05 9915.02.10 (P+) See 9916.02.05 9916.02.10 (OM) See 9918.02.01 9918.02.03 (CO) See 9919.02.01 9919.02.02 (PA)|31.1%|<desc> See subheadings 9904.02.01-9904.02.37.
0201.20.80|10|3|Bison|kg||||
0201.20.80|90|3|Other|kg||||
0201.30||1|Boneless:|||||
||2|Described in general note 15 of the tariff schedule and entered pursuant to its provisions:|||||
||3|Processed:|||||
0201.30.02|00|4|High-quality beef cuts|kg|4%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0201.30.04|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0201.30.06|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|13.2¢/kg|
||2|Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:|||||
||3|Processed:|||||
0201.30.10|00|4|High-quality beef cuts|kg|4%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.4% (KR)|20%|
0201.30.30|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0201.30.50|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.6¢/kg (KR)|13.2¢/kg|
0201.30.80||2|Other||26.4%|Free (CA,JO,MX) 12.3% (P) 17.6% (PE) 22.8% (KR) See 9910.02.05 9910.02.10 (SG) See 9911.02.05 9911.02.10 (CL) See 9912.02.05 9912.02.10 (MA) See 9913.02.05 9913.02.30 (AU) See 9914.02.05 9914.02.10 (BH) See 9915.02.05 9915.02.10 (P+) See 9916.02.05 9916.02.10 (OM) See 9918.02.01 9918.02.03 (CO) See 9919.02.01 9919.02.02 (PA)|31.1%|<desc> See subheadings 9904.02.01-9904.02.37.
0201.30.80|10|3|Bison|kg||||
0201.30.80|90|3|Other|kg||||
0202||0|Meat of bovine animals, frozen:|||||
0202.10||1|Carcasses and half-carcasses:|||||
0202.10.05||2|Described in general note 15 of the tariff schedule and entered pursuant to its provisions||4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|13.2¢/kg|
0202.10.05|10|3|Veal|kg||||
0202.10.05|90|3|Other|kg||||
0202.10.10||2|Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions||4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.6¢/kg (KR)|13.2¢/kg|
0202.10.10|10|3|Veal|kg||||
0202.10.10|90|3|Other|kg||||
0202.10.50||2|Other||26.4%|Free (CA,JO,MX) 12.3% (P) 17.6% (PE) 22.8% (KR) See 9910.02.05 9910.02.10 (SG) See 9911.02.05 9911.02.10 (CL) See 9912.02.05 9912.02.10 (MA) See 9913.02.05 9913.02.30 (AU) See 9914.02.05 9914.02.10 (BH) See 9915.02.05 9915.02.10 (P+) See 9916.02.05 9916.02.10 (OM) See 9918.02.01 9918.02.03 (CO) See 9919.02.01 9919.02.02 (PA)|31.1%|<desc> See subheading 9904.02.01-9904.02.37.
0202.10.50|10|3|Veal|kg||||
0202.10.50|90|3|Other|kg||||
0202.20||1|Other cuts with bone in:|||||
||2|Described in general note 15 of the tariff schedule and entered pursuant to its provisions:|||||
||3|Processed:|||||
0202.20.02|00|4|High-quality beef cuts|kg|4%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0202.20.04|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0202.20.06|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|13.2¢/kg|
||2|Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:|||||
||3|Processed:|||||
0202.20.10|00|4|High-quality beef cuts|kg|4%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.4% (KR)|20%|
0202.20.30|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0202.20.50|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.6¢/kg (KR)|13.2¢/kg|
0202.20.80|00|2|Other|kg|26.4%|Free (CA,JO,MX) 12.3% (P) 17.6% (PE) 22.8% (KR) See 9910.02.05 9910.02.10 (SG) See 9911.02.05 9911.02.10 (CL) See 9912.02.05 9912.02.10 (MA) See 9913.02.05 9913.02.30 (AU) See 9914.02.05 9914.02.10 (BH) See 9915.02.05 9915.02.10 (P+) See 9916.02.05 9916.02.10 (OM) See 9918.02.01 9918.02.03 (CO) See 9919.02.01 9919.02.02 (PA)|31.1%|<desc> See subheadings 9904.02.01-9904.02.37.
0202.30||1|Boneless:|||||
||2|Described in general note 15 of the tariff schedule and entered pursuant to its provisions:|||||
||3|Processed:|||||
0202.30.02|00|4|High-quality beef cuts|kg|4%|Free (A,AU,BH,CA,CL,CO,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
0202.30.04|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0202.30.06|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|13.2¢/kg|
||2|Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:|||||
||3|Processed:|||||
0202.30.10|00|4|High-quality beef cuts|kg|4%|Free (A,AU,BH,CA,CL,CO,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.4% (KR)|20%|
0202.30.30|00|4|Other|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
0202.30.50|00|3|Other|kg|4.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.6¢/kg (KR)|13.2¢/kg|
0202.30.80|00|2|Other|kg|26.4%|Free (CA,JO,MX) 12.3% (P) 17.6% (PE) 22.8% (KR) See 9910.02.05 9910.02.10 (SG) See 9911.02.05 9911.02.10 (CL) See 9912.02.05 9912.02.10 (MA) See 9913.02.05 9913.02.30 (AU) See 9914.02.05 9914.02.10 (BH) See 9915.02.05 9915.02.10 (P+) See 9916.02.05 9915.02.10 (OM) See 9918.02.01 9918.02.03 (CO) See 9919.02.01 9919.02.02 (PA)|31.1%|<desc> See subheadings 9904.02.01-9904.02.37.
0203||0|Meat of swine, fresh, chilled, or frozen:|||||
||1|Fresh or chilled:|||||
0203.11.00|00|2|Carcasses and half-carcasses|kg|Free||5.5¢/kg|
0203.12||2|Hams, shoulders and cuts thereof, with bone in:|||||
0203.12.10||3|Processed||1.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|7.2¢/kg|
0203.12.10|10|4|Hams and cuts thereof|kg||||
0203.12.10|20|4|Shoulders and cuts thereof|kg||||
0203.12.90||3|Other||Free||5.5¢/kg|
0203.12.90|10|4|Hams and cuts thereof|kg||||
0203.12.90|20|4|Shoulders and cuts thereof|kg||||
0203.19||2|Other:|||||
0203.19.20||3|Processed||1.4¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|7.2¢/kg|
0203.19.20|10|4|Spare ribs|kg||||
0203.19.20|90|4|Other|kg||||
0203.19.40||3|Other||Free||5.5¢/kg|
0203.19.40|10|4|Bellies|kg||||
0203.19.40|90|4|Other|kg||||
||1|Frozen:|||||
0203.21.00|00|2|Carcasses and half-carcasses|kg|Free||5.5¢/kg|
0203.22||2|Hams, shoulders and cuts thereof, with bone in:|||||
0203.22.10|00|3|Processed|kg|1.4¢/kg|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|7.2¢/kg|
0203.22.90|00|3|Other|kg|Free||5.5¢/kg|
0203.29||2|Other:|||||
0203.29.20|00|3|Processed|kg|1.4¢/kg|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|7.2¢/kg|
0203.29.40|00|3|Other|kg|Free||5.5¢/kg|
0204||0|Meat of sheep or goats, fresh, chilled or frozen:|||||
0204.10.00|00|1|Carcasses and half-carcasses of lamb, fresh or chilled|kg|0.7¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15.4¢/kg|
||1|Other meat of sheep, fresh or chilled:|||||
0204.21.00|00|2|Carcasses and half-carcasses|kg|2.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|11¢/kg|<desc> See subheading 9904.02.60.
0204.22||2|Other cuts with bone in:|||||
0204.22.20||3|Lamb||0.7¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15.4¢/kg|
0204.22.20|10|4|Shoulders|kg||||
0204.22.20|20|4|Legs|kg||||
0204.22.20|30|4|Loins|kg||||
0204.22.20|90|4|Other|kg||||
0204.22.40|00|3|Other|kg|2.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|11¢/kg|<desc> See subheading 9904.02.60.
0204.23||2|Boneless:|||||
0204.23.20|00|3|Lamb|kg|0.7¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15.4¢/kg|
0204.23.40|00|3|Other|kg|2.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|11¢/kg|<desc> See subheading 9904.02.60.
0204.30.00|00|1|Carcasses and half-carcasses of lamb, frozen|kg|0.7¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15.4¢/kg|
||1|Other meat of sheep, frozen:|||||
0204.41.00|00|2|Carcasses and half-carcasses|kg|2.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|11¢/kg|<desc> See subheading 9904.02.60.
0204.42||2|Other cuts with bone in:|||||
0204.42.20||3|Lamb||0.7¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15.4¢/kg|
0204.42.20|10|4|Shoulders|kg||||
0204.42.20|20|4|Legs|kg||||
0204.42.20|30|4|Loins|kg||||
0204.42.20|90|4|Other|kg||||
0204.42.40|00|3|Other|kg|2.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|11¢/kg|<desc> See subheading 9904.02.60.
0204.43||2|Boneless:|||||
0204.43.20|00|3|Lamb|kg|0.7¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15.4¢/kg|
0204.43.40|00|3|Other|kg|2.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|11¢/kg|<desc> See subheading 9904.02.60.
0204.50.00|00|1|Meat of goats|kg|Free||11¢/kg|
0205.00.00|00|0|Meat of horses, asses, mules or hinnies, fresh, chilled or frozen|kg|Free||Free|
0206||0|Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen:|||||
0206.10.00|00|1|Of bovine animals, fresh or chilled|kg|Free||30%|
||1|Of bovine animals, frozen:|||||
0206.21.00|00|2|Tongues|kg|Free||30%|
0206.22.00|00|2|Livers|kg|Free||30%|
0206.29.00|00|2|Other|kg|Free||30%|
0206.30.00|00|1|Of swine, fresh or chilled|kg|Free||30%|
||1|Of swine, frozen:|||||
0206.41.00|00|2|Livers|kg|Free||30%|
0206.49.00|00|2|Other|kg|Free||30%|
0206.80.00|00|1|Other, fresh or chilled|kg|Free||30%|
0206.90.00||1|Other, frozen||Free||30%|
0206.90.00|20|2|Of sheep (including lamb)|kg||||
0206.90.00|40|2|Of goats, horses, asses, mules or hinnies|kg||||
0207||0|Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen: Of chickens:|||||
0207.11.00||2|Not cut in pieces, fresh or chilled||8.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|22¢/kg|
0207.11.00|20|3|Young (broilers, fryers, roasters and capons)|kg||||
0207.11.00|40|3|Other|kg||||
0207.12.00||2|Not cut in pieces, frozen||8.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,,MX,OM,MA,P,PA,PE,SG)|22¢/kg|
0207.12.00|20|3|Young (broilers, fryers, roasters and capons)|kg||||
0207.12.00|40|3|Other|kg||||
0207.13.00|00|2|Cuts and offal, fresh or chilled|kg|17.6¢/kg|Free (A+,AU,BH,CA,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 14¢/kg (KR) See 9911.02.25 9911.02.30 (CL)|22¢/kg|
0207.14.00||2|Cuts and offal, frozen||17.6¢/kg|Free (A+,AU,BH,CA,CO,D,E,IL,J,JO,KR,MX,OM,P,PA,PE,SG) 3.5¢/kg (MA) See 9911.02.25 9911.02.30 (CL)|22¢/kg|
0207.14.00|20|3|Livers|kg||||
0207.14.00|40|3|Other|kg||||
||1|Of turkeys:|||||
0207.24.00|00|2|Not cut in pieces, fresh or chilled|kg|15¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 9¢/kg (KR)|22¢/kg|
0207||0|Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen:|||||
0207.25||2|Not cut in pieces, frozen:|||||
0207.25.20|00|3|Valued less than 88¢/kg|kg|8.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,OM,MX,P,PA,PE,SG) 1.7¢/kg (MA) 7¢/kg (KR)|22¢/kg|
0207.25.40|00|3|Valued 88¢ or more per kg|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|25%|
0207.26.00|00|2|Cuts and offal, fresh or chilled|kg|17.6¢/kg|Free (A+,AU,BH,CA,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 14¢/kg (KR) See 9911.02.25 9911.02.30 (CL)|22¢/kg|
0207.27.00||2|Cuts and offal, frozen||17.6¢/kg|Free (A+,AU,BH,CA,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 14¢/kg (KR) See 9911.02.25 9911.02.30 (CL)|22¢/kg|
0207.27.00|20|3|Livers|kg||||
0207.27.00|40|3|Other|kg||||
||1|Of ducks:|||||
0207.41.00|00|2|Not cut in pieces, fresh or chilled|kg|8.8¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|22¢/kg|
0207.42.00|00|2|Not cut in pieces, frozen|kg|8.8¢/kg|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|22¢/kg|
0207.43.00|00|2|Fatty livers, fresh or chilled|kg|17.6¢/kg|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|22¢/kg|
